code_module,code_presentation,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,Average_Assesment_Score,Total_no_of_material_use
AAA,2013J,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,82.0,934.0
AAA,2013J,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,66.4,1435.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,0.0,0.0
AAA,2013J,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,76.0,2158.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,54.4,1034.0
AAA,2013J,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,68.0,2445.0
AAA,2013J,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,68.0,1492.0
AAA,2013J,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,72.4,1428.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,71.4,1894.0
AAA,2013J,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,78.0,3158.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,74.0,1319.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,73.2,1732.0
AAA,2013J,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,78.6,1102.0
AAA,2013J,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,76.0,3388.0
AAA,2013J,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,71.6,2737.0
AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,67.0,171.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,55.6,1053.0
AAA,2013J,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,80.4,2327.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,48.5,116.0
AAA,2013J,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,66.0,2992.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,70.4,680.0
AAA,2013J,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,70.8,1494.0
AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,74.0,339.0
AAA,2013J,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,60.6,2839.0
AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,68.4,744.0
AAA,2013J,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,72.6,4104.0
AAA,2013J,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,78.0,1944.0
AAA,2013J,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,76.6,1150.0
AAA,2013J,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,79.6,4777.0
AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,60.0,465.0
AAA,2013J,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,53.4,733.0
AAA,2013J,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,63.4,998.0
AAA,2013J,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,81.0,2343.0
AAA,2013J,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,77.6,3553.0
AAA,2013J,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,71.8,757.0
AAA,2013J,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,72.8,1358.0
AAA,2013J,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,62.4,1886.0
AAA,2013J,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,74.2,1108.0
AAA,2013J,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,61.8,284.0
AAA,2013J,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,71.4,2041.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,69.6,1321.0
AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,81.0,1011.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,67.4,520.0
AAA,2013J,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,84.4,2732.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,0.0,0.0
AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,61.5,287.0
AAA,2013J,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,80.2,5528.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,72.6,1823.0
AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,45.0,143.0
AAA,2013J,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,73.6,2121.0
AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,68.8,5645.0
AAA,2013J,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,54.4,452.0
AAA,2013J,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,50.0,597.0
AAA,2013J,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,73.75,611.0
AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,52.0,155.0
AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,72.0,1864.0
AAA,2013J,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,50.0,270.0
AAA,2013J,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,67.0,1529.0
AAA,2013J,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,79.8,4003.0
AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,80.0,908.0
AAA,2013J,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,70.6,1405.0
AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,66.5,1185.0
AAA,2013J,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,71.8,466.0
AAA,2013J,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,69.4,1510.0
AAA,2013J,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,66.4,745.0
